epoch,accuracy,loss,val_accuracy,val_loss
0,0.7352941036224365,0.6740325093269348,1.0,0.00879590306431055
1,0.7941176295280457,0.9137296080589294,1.0,0.16583122313022614
2,0.7941176295280457,0.43751847743988037,1.0,0.492575466632843
3,0.7941176295280457,0.560003399848938,1.0,0.40892431139945984
4,0.7941176295280457,0.5161193609237671,1.0,0.27370771765708923
5,0.7941176295280457,0.4585442841053009,1.0,0.15702173113822937
6,0.7941176295280457,0.434665709733963,1.0,0.09881089627742767
7,0.7941176295280457,0.45569920539855957,1.0,0.09695921838283539
8,0.7941176295280457,0.4589370787143707,1.0,0.13240018486976624
9,0.7941176295280457,0.43297210335731506,1.0,0.19639600813388824
10,0.7941176295280457,0.4249975085258484,1.0,0.23953555524349213
